question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags
211,What kind of database is MongoDB?,Relational,Graph,Document-based,Columnar,C,Easy,Databases & SQL,MongoDB," mongodb, nosql, document db"
212,Which hook is used to manage state in React?,useFetch,useData,useState,useLoop,C,Easy,Web Development,React,"react, hooks, state"
213,What does `print(Hello1)` output in Python?,H,e,l,o,B,Medium,Language Specific," Python, Strings","python, strings, indexing"
214,What is the default network mode for Docker containers?,host,overlay,bridge,macvlan,C,Medium,Cloud,Docker,"docker, networking, bridge"
215,What does `@RequestMapping` do?,Define controller,Map URL to method,Start application,Inject service,B,Medium,Web Development,Spring Boot," spring, mvc, url mapping"
216,What does the `color` property in CSS affect?,Background,Text,Border,Width,B,Easy,Web Development,CSS,"css, styling, text"
217, What type of database is MongoDB?,Relational,Columnar,Document,Graph,C,Medium,Databases & SQL,MongoDB,"mongodb, nosql, database"
218,What type of data structure is a Pandas DataFrame?, List,Dictionary,2D table,Series,C,Medium,Databases & SQL,Pandas,"pandas, data-structure, python"
219,What is the use of `using` keyword in C#?,For inheritance,For exception handling,For importing namespaces,For variable declaration,C,Easy,Language Specific,C#,"c#, namespace, syntax"
220,What is a primary key?,A foreign reference,A unique identifier,A table header,An index,B,Easy,Databases & SQL,SQL,"sql, primary-key, constraints"
221,What is the correct HTML tag for a list item?,`<list>`,`<ul>`, `<li>`,`<ol>`,C,Easy,Web Development,HTML,"html, list"
222,Which Spring Boot file is used for configurations?,`application.json`,`config.xml`,`application.properties`, `settings.yml`,C,Medium,Web Development,Spring Boot,"spring-boot, configuration, properties"
223,What does CSS stand for?,Computer Style Sheets, Creative Style System,Cascading Style Sheets, Color Styling Syntax,C,Easy,Web Development,CSS,"css, definition, styles"
224, What is a Docker container?, Physical machine,Software for databases,Lightweight virtualized runtime,JavaScript library,C,Medium,Cloud,Docker," docker, container, virtualization"
225,What method handles GET requests in Flask?,fetch(),request.GET,@app.get,route with methods=\GET,D,Medium,Web Development,Flask,"flask, get, routing"
226, What function adds values in Excel?,=SUM(),=AVG(),=ADD(),=COUNT(),A,Easy,General,Excel,"excel, sum, function"
227,Which data structure uses FIFO order?,Stack,Queue,Heap, Graph,B,Medium,Data Structures & Algorithms,Queue,"DSA, Queue"
228,Which Python keyword is used for function declaration?,function, define, func, def,D,Easy,Language Specific,Python," Python, Functions"
229,What HTTP method is used to update data?, GET, PUT, POST,DELETE,B,Medium,Web Development,HTTP,"REST, Web"
230,Which Java collection allows duplicate elements?,Set,Map,List,TreeSet,C,Medium,Data Structures & Algorithms,Collections,"Java, Collections"
231,Which of these is used to define a variable in JavaScript (ES6)?,int, let,define,var,B,Medium,Language Specific,JavaScript," JavaScript, Variables"
232,Which HTML tag is used for an unordered list?, <ol>, <ul>,<li>,<list>,B,Easy,Web Development,HTML,"html, lists"
233,Which Git command creates a copy of a remote repo locally?,git pull, git push, git fork,git clone,D,Easy,General,Git,"git, version-control"
234, Which HTTP status code means Unauthorized?,200,403,401,500,C,Easy,Web Development,HTTP,"http, status-codes"
235,Which sorting algorithm has the best average time complexity?,Bubble Sort,Selection Sort,Merge Sort, Insertion Sort,C,Medium,Data Structures & Algorithms,Sorting," sorting, algorithms"
236,Which tag is used to create a list in HTML?,<list>, <ul>, <ol>, <li>,B,Easy,Web Development,HTML Tags," html, lists"
237,What does JVM stand for?,Java Virtual Machine,Java Visual Model, Java Volume Manager, Joint Virtual Memory,A,Medium,Language Specific,Java Basics,"java, jvm"
238,Which React hook is used to manage state?, useState,useEffect,useRef,useMemo,A,Medium,Web Development, React Hooks,"react, hooks"
239, Which of the following is not a linear data structure?,Stack,Queue, Tree, Array,C,Medium,Data Structures & Algorithms, Linear vs Non-Linear,"data structures, tree"
240,Which keyword declares a JavaScript variable?,let,define,dim,int,A,Medium,Language Specific,JavaScript," javascript, variable"
241,Which SQL statement is used to update data?, MODIFY, UPDATE, SET,ALTER,B,Medium,Databases & SQL, SQL Commands," sql, update, dml"
242,What command is used to build a Docker image?,docker run ,docker build,docker image  ,docker make,B,Medium,Cloud,Docker," docker, containers, devops  "
243, What is a document in MongoDB?,Table, Column,JSON-like object, Field,C,Easy,Databases & SQL, MongoDB," mongodb, nosql"
244, What is Git used for?,UI design,Version control,Database management, Code compilation,B,Easy,General,Git," git, version control"
245,What module is used to create a web server in Node.js?,fs,http,net,os,B,Medium,Web Development,Node.js," nodejs, http, backend"
246,Which Azure service provides serverless computing?,Azure VM,Azure Functions, Azure Blob, Azure SQL,B,Medium,Cloud, Azure,"azure, serverless"
247, What symbol is used for comments in Python?,//, /*, #, %,C,Easy,Language Specific, Python Syntax," python, comments"
248,Which MySQL command is used to create a table?, ADD TABLE, MAKE TABLE,CREATE TABLE,BUILD TABLE,C,Easy,Databases & SQL, SQL DDL,"mysql, create table"
249, Which SQL clause is used to filter results?,SELECT, GROUP BY, WHERE, HAVING,C,Easy,Databases & SQL, SQL Filtering," postgresql, where"
250, What is the correct syntax to include an external JavaScript file?, <script src=script.js>,<js link=script.js>,<javascript src=script.js>,<script href=script.js>,A,Easy,Web Development,JavaScript," javascript, external script"
251, Which SQL command is used to remove a table?,REMOVE TABLE, DELETE TABLE, DROP TABLE,ERASE TABLE,C,Easy,Databases & SQL, SQL DDL," mysql, drop table"
252, What does JSX stand for?, JavaScript XML, JavaScript Extension,JSON Style XML,JavaScript Syntax Extension,A,Easy,Web Development, React," jsx, react"
253,Which Python statement is used to handle exceptions?, check, try-except,catch,error,B,Easy,Language Specific, Python," python, exception"
254,Which SQL command updates existing data?, UPDATE, MODIFY,SET,EDIT,A,Easy,Databases & SQL, SQL DML," sql, update"
255, Which MongoDB command inserts a new document?,insert(), add(), push(), insertOne(),D,Easy,Databases & SQL, MongoDB," mongodb, insert"
256,What is the entry point of a .NET Core application?, Main(),Start(), Begin(), Launch(),A,Easy,General,.NET Core," dotnetcore, entry point"
257, Which file stores database configuration in Flask?, app.py,config.py, main.py, settings.py,B,Medium,General, Flask,"flask, config"
258, Firebase is primarily used for ___.,Data visualization, Mobile games, Backend services, Frontend design,C,Easy,Cloud, Firebase," firebase, backend"
259, What command builds a Docker image?, docker run, docker build, docker start,docker create,B,Easy,Cloud,Docker," docker, build"
260, Which SQL statement is used to extract data?, SELECT,GET, EXTRACT,READ,A,Easy,Databases & SQL,SQL Basics," sql, select"
261, PostgreSQL is an example of ___?,NoSQL DB, In-Memory DB, Relational DB,Graph DB,C,Easy,Databases & SQL, PostgreSQL," postgresql, relational"
262, What does REST stand for?,Random Execution of Simple Tasks, Representational State Transfer, Repeated External Service Testing, Remote Endpoint Service Technology,B,Easy,General, REST APIs,"rest, apis"
263,What is a Django model?, A database controller, A Python class representing a table, A template file, A URL mapper,B,Easy,Web Development,Django Models,"django, models"
264, What does ls command do in Linux?, Lists users,Lists files and directories, Logs out user, Starts shell,B,Easy,General, Linux," linux, commands"
265, What does `res.send()` do in Express.js?, Sends file to client, Sends data as response, Logs response, Ends server,B,Medium,Web Development, Express.js," express, nodejs"
266, What is the Dockerfile instruction to set base image?, START, IMAGE, FROM, BASE,C,Easy,Cloud, Docker,"docker, dockerfile"
267, What does `git clone` do?, Copies code from remote repository,Deletes local repository, Backs up files, Commits changes,A,Easy,General, Git," git, clone"
268, What is the return type of `save()` in Spring Data JPA?,void, List, Object, SavedEntity,C,Medium,Databases & SQL, Spring Data JPA," spring, jpa"
269, What decorator defines a component in Angular?,@NgModule,@Service,@Component,@Injectable,C,Easy,Web Development, Angular," angular, decorators"
270,Which of the following is the correct syntax for creating a function in Python?, def function():, function def():, func function():, create function():,A,Easy,Language Specific, Python Functions," python, functions"
271, What is the purpose of the `@Entity` annotation in Hibernate?, To define a database table,To mark a class for persistence, To set the database connection,To create an index on the database,B,Medium,Databases & SQL, Hibernate," hibernate, annotations"
272, Which JavaScript method is used to write data to the console?, console.print(), console.output(), console.log(),console.write(),C,Easy,Language Specific, JavaScript,"javascript, console"
273,What is the purpose of the `bundle install` command in Rails?,Install Ruby gems, Install JavaScript dependencies, Initialize the database, Run migrations,A,Medium,Web Development,Ruby on Rails," rails, bundle"
274, Which command is used to build a Docker image?, docker create, docker build, docker run, docker compile,B,Medium,Cloud, Docker,"docker, build"
275,Which of the following methods is used to start a server in Node.js?, start(), listen(), server(), run(),B,Medium,Web Development, Node.js," node.js, server"
276, How do you define a one-to-many relationship in JPA?, @ManyToOne, @OneToMany, @OneToOne, @ManyToMany,B,Medium,Databases & SQL,JPA,"jpa, relationships"
277, Which of the following is used to define a variable in Python?, var x = 10, int x = 10,x = 10, let x = 10,C,Easy,Language Specific, Python," python, variable"
278,How do you connect to a MySQL database in Java?, DriverManager.getConnection(), getConnection(), JDBC.connect(), Connection.connect(),A,Medium,Databases & SQL, MySQL," mysql, java"
279,"In .NET, which method is used to read input from the console?", Console.Read(), Console.ReadLine(), Console.GetInput(), Console.Input(),B,Easy,Language Specific,.NET,".net, console"
280,What is the purpose of the `filter()` method in Python?, To filter elements of a list based on a condition,To sort a list in ascending order, To join lists,To remove duplicate elements,A,Medium,Language Specific, Python," python, filter"
281, Which of the following is used to select all elements with a class of 'box' in CSS?,.box, #box, *box, box{},A,Easy,Web Development, CSS,"css, class selector"
282,"In MongoDB, which method is used to find documents in a collection?", find(), select(), get(), fetch(),A,Medium,Databases & SQL,MongoDB,"mongodb, find"
283,What command is used to create a new table in PostgreSQL?,CREATE TABLE, NEW TABLE, ADD TABLE, INSERT TABLE,A,Easy,Databases & SQL,PostgreSQL," postgresql, create table"
284, Which SQL command is used to retrieve data from a MySQL database?, SELECT, GET,FETCH, PULL,A,Easy,Databases & SQL, MySQL,"mysql, select"
285, How do you write an if statement in JavaScript?,if i == 1 then, if (i == 1), if i = 1,if i equals 1,B,Medium,Language Specific, JavaScript,"javascript, if statement"
286,"In Node.js, which module is used to work with the file system?", fs, file,system,nodefs,A,Medium,Web Development,Node.js," node.js, fs"
287, How do you start a PostgreSQL server?, postgres -start,pg_start, sudo service postgresql start,start postgresql,C,Medium,Databases & SQL,PostgreSQL," postgresql, start server"
288,"In PostgreSQL, how do you retrieve all rows from a table?", SELECT * FROM table_name;,GET * FROM table_name;, FETCH ALL FROM table_name;,SELECT ALL FROM table_name;,A,Easy,Databases & SQL, PostgreSQL,"postgresql, select"
289,What is the correct SQL query to retrieve all columns from a table named 'employees'?, SELECT * FROM employees;, GET * FROM employees;,FETCH ALL FROM employees;,SELECT ALL FROM employees;,A,Easy,Databases & SQL, MySQL," mysql, select"
290,What is the default port number for HTTP?,21,80,443,8080,B,Medium,General,"Networking, HTTP","Networking, HTTP"
291,What type of database is PostgreSQL?,NoSQL,Relational,Document,Graph,B,Easy,Databases & SQL, PostgreSQL, PostgreSQL
292,What is the role of Docker in DevOps?, Monitoring logs,Packaging applications into containers,Version control,Managing databases,B,Medium,Other,"Docker, DevOps","Docker, DevOps"
293, Which of the following is a loop structure in Python?,if,elif,for,def,C,Medium,Problem Solving,Python,Python
294,What is the time complexity of binary search?,O(n),O(log n), O(n log n),O(1),B,Medium,Data Structures & Algorithms,Searching,"Searching, Data Structures & Algorithms"
295,What is a key feature of TypeScript over JavaScript?,Dynamic typing,Weak typing,Static typing,No types,C,Medium,Language Specific,TypeScript,TypeScript
296,What tag is used to create a hyperlink in HTML?,`<a>`,`<link>`,`<href>`,`<src>`,A,Easy,Web Development,HTML,HTML
297,What is the time complexity of inserting into a hash map?,O(log n),O(1),O(n),O(n log n),B,Medium,Data Structures & Algorithms,Hashing,Hashing
298,What does `!=` mean in Java?,Equal,Not equal,Assignment, Bitwise AND,B,Easy,Language Specific,Java,Java
299,What is the purpose of `v-model` in Vue.js?,Styling elements,One-way data binding,Two-way data binding,Event handling,C,Medium,Web Development,Vue.js,Vue.js
300,Which data structure uses LIFO?,Queue,Stack,Tree,HashMap,B,Easy,Data Structures & Algorithms,Stack,Stack
301,What does CSS stand for?,Colorful Style Sheets,Creative Style Syntax,Cascading Style Sheets,Custom Styling Sheets,C,Easy,Web Development,CSS,CSS
302,"In Kafka, what is a topic?",A data pipeline,database,category for messages,storage unit,C,Medium,Other,Kafka,Kafka
303,What is Azure App Service used for?,Database creation,Hosting web apps,Monitoring,Virtual networking,B,Medium,Cloud,Azure,Azure
304,What is the purpose of `GROUP BY` in SQL?,Sorts data,Groups rows with the same values,Joins two tables,Limits results,B,Medium,Databases & SQL,SQL,SQL
305,"In Firebase, what is Firestore?",A hosting platform,A real-time NoSQL cloud database,A deployment tool,A testing library,B,Medium,Cloud,Firebase,Firebase
306,How do you create a list in Python?,{},(),\,<>,C,Easy,Language Specific,Python,Python
307,What is a hash function used for in data structures?, Sorting,Searching, Indexing, Mapping data to fixed size,D,Medium,Data Structures & Algorithms,Hashing,Hashing
308,What keyword is used to define a class in PHP?,function,new,define, class,D,Easy,Language Specific,PHP,PHP
309,How do you define a constant in JavaScript?, const,var,define,static,A,Easy,Language Specific,JavaScript,JavaScript
310,Which SQL clause is used to filter the result set?,SELECT,ORDER BY, WHERE, GROUP BY,C,Easy,Databases & SQL,SQL," sql,filtering,query"
311,What is the output of `2 + 2` in JavaScript?,4,4,22,22,D,Medium,Language Specific,JavaScript,"javascript,type coercion,strings"
312,Which algorithm is used for shortest path in graphs?,Bubble Sort,Dijkstra's Algorithm,Binary Search,Merge Sort,B,Medium,Data Structures & Algorithms,Graph Algorithms,"graph,algorithms,dijkstra"
313,What is a pure function?,A function that modifies global variables,A function that does not return anything,A function with no side effects,A class method,C,Medium,General,Functional Programming,"functional programming,pure function,basics"
314,What is the default port for MySQL?,3306,5432,8080,1433,A,Medium,Databases & SQL,MySQL,"c,sizeof,memory"
315,Which HTTP status code indicates Unauthorized?,401,403,404,200,A,Medium,Web Development,"HTTP, REST APIs","http,rest,status codes"
316,What is the output of 3 \*\* 2 in Python?,5,6,9,8,C,Easy,Problem Solving,"Python, Operators","python,operators,arithmetic"
317,What does ACID stand for in databases?,"Atomicity, Consistency, Isolation, Durability","Accuracy, Control, Integration, Durability","Atomicity, Concurrency, Integration, Distribution",None of the above,A,Hard,Databases & SQL,Database Theory,"databases,acid,transactions"
318,What is the result of 5 % 2 in Python?,3,2.5,1,0,C,Easy,General,"Modulo, Python","python,modulo,math"
319,Which of these is a platform-as-a-service (PaaS) offering in Azure?,Azure Virtual Machines,Azure App Service,Azure Blob Storage,Azure CDN,B,Medium,Cloud,"Azure, PaaS","azure,paas,cloud"
320,What does the `@Autowired` annotation do in Spring?,Logs a message,Connects to a database,Injects dependency,Validates user input,C,Medium,Object-Oriented Programming (OOP)," Java, Spring","spring, java, annotations"
321,"In CSS, which property controls the size of text?", text-size, font-size,size, text-style,B,Easy,Web Development,CSS,"css, styling, text"
322, Which AWS service is used to run serverless code?,EC2,Lambda,S3,CloudFront,B,Medium,Cloud,AWS,"aws, serverless, lambda"
323,Which STL container is best for constant time access by key?, vector,map,unordered\_map,set,C,Medium,Data Structures & Algorithms," C++, STL"," c++, stl, unordered_map"
324,Which HTTP method is used to update a resource?,GET,POST,PUT,DELETE,C,Easy,Web Development,REST APIs,"rest api, http, put"
325,What is the status code for a successful POST request that creates a resource?,200,201,202,204,B,Medium,Web Development,REST APIs,"rest api, http, status codes"
326,Which keyword is used for a function in Python?,def, func,define,lambda,A,Easy,Language Specific,Python,"python, functions, syntax"
327,Which AWS service is best for object storage?,EC2,EBS,RDS, S3,D,Easy,Cloud, AWS,"aws, storage, s3"
328,What is the return type of `main()` method in Java?,int,void,String,boolean,B,Easy,Language Specific,Java," java, main method, syntax"
329,Which CSS unit is relative to the root font size?,px,em, rem,%,C,Medium,Web Development,CSS,"css, units, responsive design"
330,Which method is used to create a server in Node.js?, http.listen(), http.start(), http.run(),http.createServer(),D,Medium,Language Specific,Node.js,"nodejs, http, server"
331,Which function reads a CSV in Pandas?, pd.read(),pd.open\_csv(),pd.read\_csv(),pd.load(),C,Easy,Databases & SQL,Pandas," pandas, csv, python"
332,What is ASP.NET used for?,Mobile apps,Web development,Game development,System scripting,B,Easy,Web Development,.NET,"aspnet, web, framework"
333,Which command is used to remove a table in SQL?,REMOVE TABLE,DELETE TABLE,DROP TABLE,ERASE TABLE,C,Easy,Databases & SQL,SQL,"sql, ddl, drop"
334,What does `document.getElementById()` return?,Class,Tag,Element,ID,C,Medium,Web Development,JavaScript,"javascript, dom, element"
335,What is the purpose of the `@Autowired` annotation?,Create new objects, Handle exceptions, Inject dependencies,Manage logs,C,Medium,Object-Oriented Programming (OOP),Spring Boot,"spring, dependency-injection, autowired"
336,Which property changes text color in CSS?,font-color,text-color,color,foreground,C,Easy,Web Development,CSS,"css, color, text"
337,What is the default orchestration tool for Docker?,Terraform,Ansible,Kubernetes,Puppet,C,Medium,Cloud,Docker/Kubernetes,"kubernetes, orchestration, docker"
338,How do you start a Flask app?, flask.run(),app.start(),app.run(),flask.begin(),C,Easy,Web Development,Flask,"flask, run, server"
339,What is the Excel formula to find an average?, =MEAN(),=AVERAGE(),=MID(), =SUM(),B,Easy,General,Excel,"excel, average, formula"
340,Which keyword is used to inherit a class in Java?,this,implements, extends,inherits,C,Medium,Object-Oriented Programming (OOP),Inheritance,"OOP, Java"
341,"When defining a simple Python function like def calculate_sum(num1, num2):, how many explicit positional arguments are declared?",7,10,9,2,D,Easy,Problem Solving,Operator Precedence," Python, Math"
342, Which C# keyword is used to create an interface?,class, interface, implements,struct,B,Medium,Language Specific,C#,"C#, Interfaces"
343,What is the primary use of useState in React?,Routing,Styling,State Management,API calls,C,Medium,Web Development, React Hooks," React, Hooks"
344,What does DOM stand for?,Document Object Model,Data Object Model,Display Object Model, Document Oriented Model,A,Medium,Web Development, DOM," JavaScript, DOM"
345, Which CSS property controls text size?, font-weight,text-size,font-size,text-style,C,Easy,Web Development,CSS,"css, fonts, style"
346,Which HTTP method is used to update data?, GET,DELETE, POST,PUT,D,Medium,Web Development, REST APIs,"http, rest, put"
347,Which AWS service provides object storage?,EC2, Lambda, RDS,S3,D,Easy,Cloud, AWS,"aws, cloud, storage"
348,What does `git status` show?,List of remote branches, Current branch and changes, Commits history,Pull requests,B,Easy,General,Git,"git, commands"
349, What symbol is used to start a comment in Python?, //, #, /*,<!--,B,Easy,Language Specific,Python Syntax," python, comments"
350,Which SQL statement is used to remove data?,REMOVE,DELETE,DROP, ERASE,B,Medium,Databases & SQL,SQL Queries,"sql, delete"
351, Which of the following is a NoSQL database?, Oracle,MySQL,PostgreSQL,MongoDB,D,Medium,Databases & SQL,NoSQL,"mongodb, nosql"
352,What is the output of sizeof(char) in C?,1,2,4,8,A,Easy,Language Specific, C Basics,"c, memory"
353,Which tag is used to insert an image in HTML?, <src>,<image>,<img>,<picture>,C,Easy,Web Development, HTML,"html, images, frontend"
354, What does JDBC stand for?,Java Database Connector,Java Data Connection,Java Direct DB Connection,Java Database Connectivity,D,Medium,Databases & SQL, JDBC," java, jdbc, sql"
355,In Kubernetes what is a pod?, A network protocol,A virtual machine  ,A group of containers ,A deployment configuration ,C,Hard,Cloud,Kubernetes ," kubernetes, pods, cloud"
356, Which hook is used for state in React?, useEffect,useState,useReducer,useMemo,B,Medium,Web Development, React Hooks," react, hooks, state"
357, Which command stages all changes in Git?, git init,git commit,git add,git push,C,Medium,General, Git," git, staging"
358,What is the output of typeof null in JavaScript?,null, object, undefined,boolean,B,Hard,Language Specific,JavaScript,"javascript, typeof"
359, Which SQL function is used to count rows?,SUM(), COUNT(), TOTAL(), LENGTH(),B,Easy,Databases & SQL, SQL Functions," sql, count"
360,Which command creates a virtual environment in Python?, pip install venv,python -m venv env, virtualenv create,venv new,B,Medium,General,Virtual Environment," python, venv"
361,What is the default localhost port for MySQL?,3306,5432,1521,8080,A,Easy,Databases & SQL, MySQL," mysql, port"
362, Go uses ___ for concurrency.,Threads, Tasks, Goroutines,Processes,C,Medium,Language Specific,Concurrency," golang, goroutines"
363,Which HTML attribute is used to define inline styles?,class, id, style, css,C,Easy,Web Development, HTML,"html, inline style"
364, What is the default scope of a Spring Bean?,session, singleton, prototype, request,B,Medium,General, Spring Framework,"spring, bean scope"
365, Which keyword is used for defining a type alias in TypeScript?, define,interface,alias, type,D,Medium,Language Specific, TypeScript,"typescript, types"
366, What does `manage.py runserver` do in Django?,Starts the admin panel,Starts the development server,Migrates the database,Creates a new app,B,Easy,Web Development, Django," django, runserver"
367,In Java what is the default value of a boolean?, true, false,0,null,B,Medium,Language Specific, Java,"java, default values"
368," In Node.js, which object is used to work with file system?", fs, file, path, system,A,Medium,Language Specific, Node.js,"nodejs, fs"
369, What keyword is used to define an interface in C#?, interface,implements,define,class,A,Easy,Object-Oriented Programming (OOP),Interfaces,"csharp, interfaces"
370, Which SQL clause filters records?,WHERE, SELECT,GROUP, ORDER,A,Easy,Databases & SQL,SQL Filtering,"sql, where"
371, Which decorator is used to define an Angular service?,@Injectable, @Service, @Provide, @Component,A,Medium,Web Development, Angular," angular, services"
372, Which Go type is used for key-value storage?, array, map,struct, slice,B,Easy,Data Structures & Algorithms, Maps,"golang, map"
373, What tag is used to create a hyperlink in HTML?, <link>, <a>, <href>, <hyperlink>,B,Easy,Web Development, HTML,"html, anchor"
374,"In React, what is JSX?", A templating engine,JavaScript + XML, JSON parser, Data binding syntax,B,Medium,Web Development,React," react, jsx"
375, Which HTTP method is used to update a resource?,GET, POST, PUT,DELETE,C,Easy,Web Development, HTTP," http, methods"
376, Which command creates a new Django app?, django create app, django-admin startapp,startproject app, python startapp,B,Easy,Web Development,Django," django, startapp"
377, What file is used to configure Git?, git.cfg, .gitignore, .gitconfig, config.git,C,Medium,General,Git," git, config"
378,What is the purpose of middleware in Express.js?, Manage cookies, Route redirection, Handle request/response preprocessing, Serve static files,C,Medium,Web Development, Express.js," middleware, express"
379,What HTTP method is used to delete a resource?, REMOVE, DELETE, DESTROY, ERASE,B,Easy,Web Development,HTTP,"http, crud"
380,Which selector targets a class in CSS?,#, ., ::, &,B,Easy,Web Development, CSS,"css, selectors"
381,What is the default HTTP method used by a browser form submission?, GET, POST, PUT,PATCH,A,Easy,Web Development, HTTP," http, forms"
382,What Firebase service is used for user authentication?,Firestore, FirebaseAuth,Auth,Firebase Authentication,D,Medium,Cloud,Firebase," firebase, auth"
383, What does the `new` keyword do in C++?, Allocates memory, Creates a class instance, Creates a pointer to a variable, Initializes variables,A,Medium,Language Specific, C++," cpp, memory management"
384, What AWS service is used to host a virtual machine?, EC2,Lambda, S3,RDS,A,Medium,Cloud, AWS,"aws, ec2"
385, What does the `padding` property do in CSS?, Adds space between the element’s border and content,Adds space between elements, Changes the background color,Sets the border width,A,Easy,Web Development,CSS," css, padding"
386,Which of the following is the correct syntax for a Ruby block?,do {} end, {} do end,do () end, { } end,A,Medium,Language Specific, Ruby,"ruby, blocks"
387, What Kubernetes object is used to manage the deployment of pods?, PodController, Deployment, ReplicaSet,Service,B,Medium,Cloud, Kubernetes," kubernetes, deployment"
388, How can you define an anonymous function in JavaScript?, function() {},function() => {},() => {}, All of the above,D,Medium,Language Specific, JavaScript," javascript, anonymous function"
389," In Spring Boot, which file contains the configuration for the application’s properties?", application.properties, config.yml, settings.json, spring-config.xml,A,Easy,Web Development, Spring Boot," spring, configuration"
390,What is the correct HTML tag for inserting a line break?,<break>, <br>, <lb>,<line>,B,Easy,Web Development,HTML," html, line break"
391, Which of the following is true about `@Autowired` in Spring?,It injects dependencies automatically, It is used to define a database connection, It is used for routing requests in Spring MVC, It configures beans in XML,A,Medium,Web Development, Spring Boot,"spring, autowired"
392, Which of the following is used to add a new record into a table in SQL Server?, INSERT INTO,ADD RECORD,INSERT INTO TABLE, ADD ROW,A,Easy,Databases & SQL, SQL Server," sql server, insert"
393, Which PostgreSQL command is used to create a new database?, CREATE DATABASE, NEW DATABASE, MAKE DATABASE, INIT DATABASE,A,Easy,Databases & SQL, PostgreSQL,"postgresql, create database"
394, What is the correct syntax to link an external JavaScript file to an HTML document?, <link rel=stylesheet href=script.js>, <script href=script.js></script>, <script src=script.js></script>, <link src=script.js>,C,Medium,Web Development,JavaScript," javascript, external file"
395, What SQL command is used to modify the structure of a table?, UPDATE, INSERT, ALTER, SELECT,C,Medium,Databases & SQL,SQL," sql, alter table"
396,What is the main purpose of the `each` method in Ruby?, To iterate over a collection, To map a collection, To select an element, To reverse a collection,A,Easy,Language Specific, Ruby," ruby, iteration"
397, What is the correct way to define an interface in Java?, interface MyInterface {}, MyInterface() {},interface MyInterface() {}, public interface MyInterface {},A,Medium,Language Specific,Java,"java, interface"
398, Which property is used to change the background color of a webpage in CSS?, background-color, bg-color, color, background,A,Easy,Web Development,CSS,"css, background color"
399, What is the default port for a MongoDB server?,27017,3306,8080,1433,A,Easy,Databases & SQL, MongoDB," mongodb, port"
400,Which Python library is used for working with JSON data?, json, jsonlib,pickle, xml,A,Easy,Language Specific,Python,"python, json"
401,"In Rails, which helper method is used to create a link in a view?", link_to, create_link, generate_link, url_link,A,Medium,Web Development, Rails," rails, link"
402,"In Spring Boot, what is the purpose of @SpringBootApplication annotation?", To define a class as a configuration class,To initialize the Spring Boot application, To handle database connections, To handle HTTP requests,B,Medium,Web Development,Spring Boot," spring boot, application annotation"
403,"Which data structure uses LIFO (Last In, First Out)?",Queue,Array,Stack,Linked List,C,Medium,Data Structures & Algorithms,Stack,"Stack, Data Structures & Algorithms"
404,What does the term scaling horizontally mean in cloud computing?,Adding more RAM to a server,Upgrading CPU cores,Adding more machines to the system,Compressing data,C,Medium,Cloud,"AWS, Cloud Computing","AWS, Cloud Computing"
405,What is a foreign key in a relational database?,A unique key,A key in another table referencing the primary key,A key with NULL value,An auto-increment key,B,Easy,Databases & SQL,SQL,"SQL, Databases"
406,What does SQL stand for?,Structured Question Language,Strong Query Language,Structured Query Language,Simple Query List,C,Easy,Databases & SQL,SQL,"SQL, Databases"
407,What is the primary use of `useEffect` in React?, Styling,Fetching data and side effects,Component routing,Variable declaration,B,Medium,Web Development,React,React
408,What data structure is best for implementing a queue?,Stack,Heap,Array,Linked List,D,Medium,Data Structures & Algorithms,Queue,"Queue, Data Structures & Algorithms"
409,What does a `for` loop do?,Defines a function,Creates an object,Iterates over a sequence,Imports modules,C,Easy,Problem Solving,Loops,Loops
410,Which command initializes a Terraform project?,terraform init,terraform start,terraform apply,terraform run,A,Medium,Other,Terraform,Terraform
411,Which SQL function returns the total number of rows?,COUNT(),SUM(),AVG(),TOTAL(),A,Easy,Databases & SQL,SQL,SQL
412,What type of join returns all rows from both tables when there is a match?,INNER JOIN,FULL OUTER JOIN,LEFT JOIN,CROSS JOIN,B,Hard,Databases & SQL,SQL Joins,SQL Joins
413,Which Node.js module is used to create a web server?,fs, http,path,net,B,Medium,Language Specific,Node.js,Node.js
414,What is a variable in Python?,A fixed value,A reusable component,A named reference to data,A function,C,Easy,Language Specific,Python,Python
415,Which command is used to retrieve all documents in MongoDB?,findAll(),get(),find(),list(),C,Medium,Databases & SQL,MongoDB,MongoDB
416,Which of the following is a valid loop in C#?,for loop,go loop,check loop, scan loop,A,Easy,Problem Solving,Loops,Loops
417,Which Bootstrap class makes a button red?,btn-danger,btn-red,btn-error,btn-alert,A,Easy,Web Development,Bootstrap,Bootstrap
418,What data structure is best for implementing recursion?,Queue,Tree,Stack, Graph,C,Medium,Data Structures & Algorithms,Stack,Stack
419,What is a boolean in Python?,A number,A string,True or False value,A list,C,Easy,Language Specific, Python, Python
420,Which Redis command sets a key with expiration?,SETEX,SETEXP,EXPIRESET,SETWITHTTL,A,Medium,Databases & SQL,Redis,Redis
421,What SQL function returns the number of rows?,SUM(),COUNT(),AVG(), TOTAL(),B,Easy,Databases & SQL,SQL Functions,SQL Functions
422,Which JavaScript loop is best for arrays?, for,do-while, while,switch,A,Easy,Problem Solving,JavaScript Loops,JavaScript Loops
